target,split,mae,rmse,r2
target_spend,valid,10.514743059616622,38.814216851250094,0.3158448158741137
target_spend,test,7.8122392519399515,23.310987035699362,0.2926065122402831
target_impressions,valid,329.97216730767616,1342.2639848722617,0.2623155812709813
target_impressions,test,239.28155108637,716.9364337053338,0.31408445536543594
target_inline_link_clicks,valid,14.449744120444976,44.85050686375738,0.32213226111758486
target_inline_link_clicks,test,13.142454413558523,32.98080782223242,0.3390860853755969
target_tracker_conversions,valid,2.426287402706583,10.445753690346496,0.24877202962518719
target_tracker_conversions,test,1.3052507321005042,5.696419116661579,0.3220845876070768
target_tracker_revenue,valid,10.758828421400072,46.79483253225601,0.1890923495741268
target_tracker_revenue,test,7.894498076858191,36.12049053190587,0.09733707403095138
