metric,target,model,mae,rmse,r2,wmape,bias
spend,target_spend,lgbm_6h_anchor_v2_joined,6.599225355503191,20.769921957815928,0.3578981410387831,0.6360852955888289,-0.3075874472160819
impressions,target_impressions,lgbm_6h_anchor_v2_joined,214.97756939357924,609.6997566161431,0.4247317559792285,0.5809627268980765,-0.1707861765659845
clicks,target_inline_link_clicks,lgbm_6h_anchor_v2_joined,12.40713273463997,30.749576124271066,0.495424951709695,0.5395747285680973,-0.1870349942861228
conversions,target_tracker_conversions,lgbm_6h_business_v3_joined,1.1611330559832582,4.996038281563704,0.4231318439036372,0.8647748637703712,-0.261767356517899
revenue,target_tracker_revenue,lgbm_6h_business_v3_joined,6.05891094351629,25.981365972327257,0.3169921296402729,0.9575430331027912,-0.3129382417291743
