target,candidate,split,mae,rmse,r2,wmape,bias
target_tracker_conversions,log_l1_balanced,valid,2.4526584011729957,10.778177709252263,0.18707312809080678,0.8342986265987758,-0.6086349718017918
target_tracker_conversions,log_l1_balanced,test,1.08587424133257,5.601757786780564,0.2747734345915759,0.8087244991272282,-0.5521827303682458
target_tracker_conversions,log_huber_robust,valid,2.470002438933199,10.7844575378014,0.1861255600093844,0.8401983910649954,-0.570220165228282
target_tracker_conversions,log_huber_robust,test,1.1013418218633115,5.637758316554763,0.26542192859364055,0.8202442597415726,-0.5073071197985228
target_tracker_conversions,poisson_raw_count,valid,2.6016245480467264,9.581079826383469,0.3576233931370332,0.884971093537925,-0.2687581339904559
target_tracker_conversions,poisson_raw_count,test,1.1611330559832582,4.996038281563704,0.42313184390363723,0.8647748637703712,-0.26176735651789906
target_tracker_revenue,log_l1_revenue,valid,10.883622115598536,47.483643883904186,0.15456136335617043,0.8888117569425229,-0.6976587701894191
target_tracker_revenue,log_l1_revenue,test,5.649728994750904,29.077946241280532,0.14448189276490508,0.8928764077035521,-0.7012099452321866
target_tracker_revenue,log_huber_revenue,valid,10.979456705143233,47.911312202755724,0.13926365050396305,0.8966380953622489,-0.7094518260148535
target_tracker_revenue,log_huber_revenue,test,5.691926906979028,29.282542704846215,0.13240045025070002,0.8995453152419213,-0.7098727714464583
target_tracker_revenue,tweedie_raw_revenue,valid,11.821916343622872,42.66127422424944,0.3175644242001804,0.9654376203252737,-0.2707403610744697
target_tracker_revenue,tweedie_raw_revenue,test,6.05891094351629,25.981365972327257,0.3169921296402729,0.9575430331027912,-0.3129382417291743
