target,split,mae,rmse,r2,wmape,bias
target_spend,valid,10.527804140325012,39.48522764865329,0.2814634774486714,0.7193162594571845,-0.4021320618073873
target_spend,test,6.599225355503191,20.769921957815928,0.35789814103878315,0.6360852955888289,-0.3075874472160819
target_impressions,valid,326.7981720938657,1315.5602258347562,0.2795958229752604,0.6838929422247301,-0.3359421993421772
target_impressions,test,214.97756939357924,609.6997566161431,0.4247317559792285,0.5809627268980765,-0.17078617656598458
target_inline_link_clicks,valid,13.808112924521254,43.90606040985319,0.33998418170630995,0.6245394200785908,-0.2538643326745054
target_inline_link_clicks,test,12.40713273463997,30.749576124271066,0.495424951709695,0.5395747285680973,-0.18703499428612283
target_tracker_conversions,valid,2.440987273463069,10.718312478497499,0.19607852828971895,0.830328564638825,-0.5947303405420428
target_tracker_conversions,test,1.0765437917047007,5.535899207363324,0.2917258368300687,0.8017754778550499,-0.5245360925703534
target_tracker_revenue,valid,10.915122207912356,47.759612220824856,0.14470566271883079,0.89138421417192,-0.706881926667055
target_tracker_revenue,test,5.648251178268433,29.2468517585792,0.13451410398271302,0.8926428553555829,-0.7147765128780611
