target,split,mae,rmse,r2
target_24h_spend,valid,0.7392114254232618,8.863427910100285,0.09882176817166333
target_24h_spend,test,0.7826811336932493,4.81393091998169,0.3250038423132643
target_24h_impressions,valid,21.388285393172513,236.50616096791177,0.1489088294948555
target_24h_impressions,test,21.679789406137296,216.97747578674398,0.19796248442264341
target_24h_inline_link_clicks,valid,1.4625412688593502,12.983439748649936,0.3197524469052677
target_24h_inline_link_clicks,test,1.2108985524869944,11.302322670953442,0.372013542507157
target_24h_tracker_conversions,valid,0.07605688517982953,2.152883677191689,0.06691896336316916
target_24h_tracker_conversions,test,0.1151546710899456,1.3253502988757102,0.41470418220937855
target_24h_tracker_revenue,valid,0.5492834476292092,11.047888565968629,0.41612055638837864
target_24h_tracker_revenue,test,0.511723465180109,6.4761361265969075,0.6981749579805112
target_24h_roas,test,0.39268362522125244,16.538305035500635,0.4548221230506897
target_24h_profit,test,0.8121134042739868,6.545027952549798,0.6354920864105225
target_24h_ctr,test,7.155534744262695,18.44406745453882,-0.7393856048583984
target_24h_cvr,test,4.586238861083984,22.373981814953265,-6.801660060882568
target_24h_cpc,test,6.132864475250244,13.244332882996598,-818.4556884765625
target_24h_cpm,test,80.50453186035156,132.62457292579683,-3.2568459510803223
