target,split,mae,rmse,r2
target_spend,valid,4.015301704406738,10.00983403177845,0.04359567165374756
target_impressions,valid,145.08999633789062,372.96753377472413,0.43399131298065186
target_inline_link_clicks,valid,8.81828784942627,24.05769407160563,0.48123955726623535
target_tracker_conversions,valid,0.03327767178416252,0.19845731929115798,0.039383769035339355
target_tracker_revenue,valid,0.15288765728473663,1.7192954151700148,-0.0013363361358642578
target_spend,test,6.868327617645264,16.898889882120862,-0.034070611000061035
target_impressions,test,230.5031280517578,602.2748801419498,0.45358753204345703
target_inline_link_clicks,test,11.613229751586914,37.54209551352821,0.3962594270706177
target_tracker_conversions,test,0.08917725831270218,0.41964957701453676,-0.474459171295166
target_tracker_revenue,test,6.052677154541016,37.16744798144103,-0.026171088218688965
