target,split,mae,rmse,r2,wmape,bias,anchor_hour
target_spend,test,4.467501518192276,11.570302606377052,0.27532989041235956,0.6717154948635,-0.37254110303916876,0
target_spend,test,9.886891739832153,24.590284188318805,0.28689987855097243,0.6806319650071933,-0.4650253022174135,6
target_spend,test,6.995795479633233,23.268492614269007,0.3941130358754851,0.5777025195653869,-0.208081657321537,12
target_spend,test,3.7361241688257043,17.573740904818763,0.3648188462399634,0.6402846594651503,-0.05667590085334872,18
target_impressions,test,153.63968257777927,359.5403328603435,0.3899600560145311,0.611173803284075,-0.2973497103767028,0
target_impressions,test,293.52253559150046,779.234406478615,0.39508632450133685,0.6266840600649066,-0.36271019046575587,6
target_impressions,test,230.46517498518375,627.9183186826449,0.43296402525637134,0.5443234817684472,-0.0014827873497180802,12
target_impressions,test,146.69849817992667,502.46969286800174,0.45322884917601514,0.5419787755485772,-0.04295071261909254,18
target_inline_link_clicks,test,8.209486605341368,19.336133362269656,0.5655372400145972,0.555538651148763,-0.2490859752035099,0
target_inline_link_clicks,test,15.99065034139716,37.73426319710149,0.4415881545844216,0.5980981581799689,-0.37556440725667245,6
target_inline_link_clicks,test,13.925630703229292,31.119537593077585,0.49980340881018237,0.5027554888256834,-0.042289164496052356,12
target_inline_link_clicks,test,9.303162642200961,28.371573217041853,0.5207849007897316,0.503655361947538,-0.12155373495108314,18
target_tracker_conversions,test,1.0644875779116945,3.588579654478254,0.2658956623218677,0.829067531581143,-0.5435869281160435,0
target_tracker_conversions,test,1.277686737266448,5.388114594961483,0.2956609413320458,0.7974009235743219,-0.5416024723485283,6
target_tracker_conversions,test,1.0306160642875546,6.203060130566359,0.2916683406455842,0.7875791685177967,-0.5313477723459592,12
target_tracker_conversions,test,0.9026435718883046,6.03715760707216,0.29352071736656016,0.8070618234759867,-0.46343251587733425,18
target_tracker_revenue,test,4.314968117825191,16.71930572822846,0.08469972938052661,0.9508587644958988,-0.7074482100868752,0
target_tracker_revenue,test,6.173680802451578,26.13833944224383,0.14465897347999412,0.8897361994431832,-0.7292718787685929,6
target_tracker_revenue,test,6.987741946777516,38.458420335008675,0.11052874095250964,0.8888381337372537,-0.7543466219787093,12
target_tracker_revenue,test,4.170656482073821,25.50156487974624,0.20067641830277472,0.8600556875398306,-0.600533206358368,18
