target,split,mae,rmse,r2
target_spend,valid,23.131797023169288,102.5872125335854,0.2485314686299508
target_spend,test,2.3513735029151492,6.944792986238002,0.7458464523727956
target_impressions,valid,613.7276804482217,1966.3423285632937,0.42211058330618834
target_impressions,test,239.95625947639405,678.1002473791572,0.7381922167166264
target_inline_link_clicks,valid,29.59750498517805,91.99951150277673,0.4546188050296899
target_inline_link_clicks,test,12.058927327714153,26.221647605351833,0.7989170972100549
target_tracker_conversions,valid,5.536846755809174,26.048313918106746,0.1833984053283486
target_tracker_conversions,test,0.00249970433790035,0.013249774152559566,0.0
target_tracker_revenue,valid,22.200437880207932,108.8377065050419,0.10695977128839318
target_tracker_revenue,test,0.002251566862960356,0.01231553776879598,0.0
