family,target,split,mae,rmse,r2
volume,target_spend,valid,345.1716003417969,36543.977232917605,-606462.375
volume,target_impressions,valid,39740.51171875,4367485.687288741,-7810119.0
volume,target_inline_link_clicks,valid,30.141429901123047,567.3049775032827,-107.45346069335938
volume,target_spend,test,7.935237407684326,24.22015116914529,0.23635166883468628
volume,target_impressions,test,253.89041137695312,707.7949252785019,0.33146488666534424
volume,target_inline_link_clicks,test,13.73486328125,35.156217013873416,0.24902307987213135
ratio,target_cvr,valid,0.08882413804531097,0.1856967120252867,0.11525136232376099
ratio,target_roas,valid,0.4239460527896881,3.1634326449188053,-0.0005834102630615234
ratio,target_cvr,test,0.055048659443855286,0.14290242350293783,0.1889585256576538
ratio,target_roas,test,0.3504636287689209,1.6820659741947042,0.008118212223052979
reconstructed_raw,target_spend,valid,345.1716003417969,36543.977232917605,-606462.375
reconstructed_raw,target_impressions,valid,39740.51171875,4367485.687288741,-7810119.0
reconstructed_raw,target_inline_link_clicks,valid,30.141429901123047,567.3049775032827,-107.45346069335938
reconstructed_raw,target_tracker_conversions,valid,10.363783836364746,507.07158641556714,-1769.234375
reconstructed_raw,target_tracker_revenue,valid,785.1273803710938,84432.8595749309,-2639966.75
reconstructed_raw,target_spend,test,7.935237407684326,24.22015116914529,0.23635166883468628
reconstructed_raw,target_impressions,test,253.89041137695312,707.7949252785019,0.33146488666534424
reconstructed_raw,target_inline_link_clicks,test,13.73486328125,35.156217013873416,0.24902307987213135
reconstructed_raw,target_tracker_conversions,test,1.4397903680801392,6.1523353794585915,0.20922726392745972
reconstructed_raw,target_tracker_revenue,test,8.080191612243652,35.74300972414921,0.11610519886016846
